date,review_count,snapshot_date
2022-11-30,4183,"16 March, 2025"
2022-12-31,4139,"16 March, 2025"
2023-01-31,3520,"16 March, 2025"
2023-02-28,3782,"16 March, 2025"
2023-03-31,4629,"16 March, 2025"
2023-04-30,5580,"16 March, 2025"
2023-05-31,5975,"16 March, 2025"
2023-06-30,5643,"16 March, 2025"
2023-07-31,6164,"16 March, 2025"
2023-08-31,5764,"16 March, 2025"
2023-09-30,5999,"16 March, 2025"
2023-10-31,6904,"16 March, 2025"
2023-11-30,5693,"16 March, 2025"
2023-12-31,6188,"16 March, 2025"
2024-01-31,4861,"16 March, 2025"
2024-02-29,5272,"16 March, 2025"
2024-03-31,6905,"16 March, 2025"
2024-04-30,8050,"16 March, 2025"
2024-05-31,8318,"16 March, 2025"
2024-06-30,7872,"16 March, 2025"
2024-07-31,8572,"16 March, 2025"
2024-08-31,8105,"16 March, 2025"
2024-09-30,8129,"16 March, 2025"
2024-10-31,9458,"16 March, 2025"
2024-11-30,8839,"16 March, 2025"
2024-12-31,10304,"16 March, 2025"
2025-01-31,7370,"16 March, 2025"
2025-02-28,8192,"16 March, 2025"
2025-03-31,1976,"16 March, 2025"
2010-11-30,2,"21 June, 2025"
2010-12-31,0,"21 June, 2025"
2011-01-31,0,"21 June, 2025"
2011-02-28,1,"21 June, 2025"
2011-03-31,3,"21 June, 2025"
2011-04-30,0,"21 June, 2025"
2011-05-31,11,"21 June, 2025"
2011-06-30,10,"21 June, 2025"
2011-07-31,2,"21 June, 2025"
2011-08-31,5,"21 June, 2025"
2011-09-30,17,"21 June, 2025"
2011-10-31,5,"21 June, 2025"
2011-11-30,7,"21 June, 2025"
2011-12-31,2,"21 June, 2025"
2012-01-31,3,"21 June, 2025"
2012-02-29,2,"21 June, 2025"
2012-03-31,6,"21 June, 2025"
2012-04-30,4,"21 June, 2025"
2012-05-31,11,"21 June, 2025"
2012-06-30,9,"21 June, 2025"
2012-07-31,8,"21 June, 2025"
2012-08-31,9,"21 June, 2025"
2012-09-30,19,"21 June, 2025"
2012-10-31,26,"21 June, 2025"
2012-11-30,24,"21 June, 2025"
2012-12-31,24,"21 June, 2025"
2013-01-31,14,"21 June, 2025"
2013-02-28,18,"21 June, 2025"
2013-03-31,33,"21 June, 2025"
2013-04-30,36,"21 June, 2025"
2013-05-31,34,"21 June, 2025"
2013-06-30,37,"21 June, 2025"
2013-07-31,40,"21 June, 2025"
2013-08-31,31,"21 June, 2025"
2013-09-30,61,"21 June, 2025"
2013-10-31,78,"21 June, 2025"
2013-11-30,68,"21 June, 2025"
2013-12-31,56,"21 June, 2025"
2014-01-31,66,"21 June, 2025"
2014-02-28,57,"21 June, 2025"
2014-03-31,95,"21 June, 2025"
2014-04-30,117,"21 June, 2025"
2014-05-31,142,"21 June, 2025"
2014-06-30,135,"21 June, 2025"
2014-07-31,130,"21 June, 2025"
2014-08-31,149,"21 June, 2025"
2014-09-30,179,"21 June, 2025"
2014-10-31,221,"21 June, 2025"
2014-11-30,222,"21 June, 2025"
2014-12-31,239,"21 June, 2025"
2015-01-31,178,"21 June, 2025"
2015-02-28,195,"21 June, 2025"
2015-03-31,257,"21 June, 2025"
2015-04-30,326,"21 June, 2025"
2015-05-31,389,"21 June, 2025"
2015-06-30,451,"21 June, 2025"
2015-07-31,414,"21 June, 2025"
2015-08-31,404,"21 June, 2025"
2015-09-30,491,"21 June, 2025"
2015-10-31,586,"21 June, 2025"
2015-11-30,390,"21 June, 2025"
2015-12-31,367,"21 June, 2025"
2016-01-31,387,"21 June, 2025"
2016-02-29,423,"21 June, 2025"
2016-03-31,403,"21 June, 2025"
2016-04-30,393,"21 June, 2025"
2016-05-31,465,"21 June, 2025"
2016-06-30,473,"21 June, 2025"
