date,review_count,snapshot_date
2021-04-30,2843,"03 March, 2025"
2021-05-31,5316,"03 March, 2025"
2021-06-30,8268,"03 March, 2025"
2021-07-31,13563,"03 March, 2025"
2021-08-31,14532,"03 March, 2025"
2021-09-30,15091,"03 March, 2025"
2021-10-31,18294,"03 March, 2025"
2021-11-30,18246,"03 March, 2025"
2021-12-31,16711,"03 March, 2025"
2022-01-31,13740,"03 March, 2025"
2022-02-28,14428,"03 March, 2025"
2022-03-31,19169,"03 March, 2025"
2022-04-30,23660,"03 March, 2025"
2022-05-31,26604,"03 March, 2025"
2022-06-30,27536,"03 March, 2025"
2022-07-31,32392,"03 March, 2025"
2022-08-31,27080,"03 March, 2025"
2022-09-30,27504,"03 March, 2025"
2022-10-31,29249,"03 March, 2025"
2022-11-30,24139,"03 March, 2025"
2022-12-31,21481,"03 March, 2025"
2023-01-31,23887,"03 March, 2025"
2023-02-28,21583,"03 March, 2025"
2023-03-31,26830,"03 March, 2025"
2023-04-30,34755,"03 March, 2025"
2023-05-31,39185,"03 March, 2025"
2023-06-30,43008,"03 March, 2025"
2023-07-31,40730,"03 March, 2025"
2023-08-31,31969,"03 March, 2025"
2023-09-30,39566,"03 March, 2025"
2023-10-31,45974,"03 March, 2025"
2023-11-30,27924,"03 March, 2025"
2023-12-31,26986,"03 March, 2025"
2024-01-31,27646,"03 March, 2025"
2024-02-29,23479,"03 March, 2025"
2024-03-31,36028,"03 March, 2025"
2024-04-30,41960,"03 March, 2025"
2024-05-31,48321,"03 March, 2025"
2024-06-30,51541,"03 March, 2025"
2024-07-31,38760,"03 March, 2025"
2024-08-31,47025,"03 March, 2025"
2024-09-30,49839,"03 March, 2025"
2024-10-31,59438,"03 March, 2025"
2024-11-30,42334,"03 March, 2025"
2024-12-31,43961,"03 March, 2025"
2025-01-31,43443,"03 March, 2025"
2025-02-28,36281,"03 March, 2025"
2025-03-31,6853,"03 March, 2025"
2009-06-30,1,"06 December, 2024"
2009-07-31,2,"06 December, 2024"
2009-08-31,0,"06 December, 2024"
2009-09-30,1,"06 December, 2024"
2009-10-31,0,"06 December, 2024"
2009-11-30,0,"06 December, 2024"
2009-12-31,1,"06 December, 2024"
2010-01-31,1,"06 December, 2024"
2010-02-28,2,"06 December, 2024"
2010-03-31,1,"06 December, 2024"
2010-04-30,7,"06 December, 2024"
2010-05-31,14,"06 December, 2024"
2010-06-30,12,"06 December, 2024"
2010-07-31,23,"06 December, 2024"
2010-08-31,19,"06 December, 2024"
2010-09-30,44,"06 December, 2024"
2010-10-31,42,"06 December, 2024"
2010-11-30,31,"06 December, 2024"
2010-12-31,28,"06 December, 2024"
2011-01-31,30,"06 December, 2024"
2011-02-28,26,"06 December, 2024"
2011-03-31,46,"06 December, 2024"
2011-04-30,65,"06 December, 2024"
2011-05-31,90,"06 December, 2024"
2011-06-30,128,"06 December, 2024"
2011-07-31,102,"06 December, 2024"
2011-08-31,91,"06 December, 2024"
2011-09-30,130,"06 December, 2024"
2011-10-31,167,"06 December, 2024"
2011-11-30,122,"06 December, 2024"
2011-12-31,99,"06 December, 2024"
2012-01-31,141,"06 December, 2024"
2012-02-29,108,"06 December, 2024"
2012-03-31,149,"06 December, 2024"
2012-04-30,219,"06 December, 2024"
2012-05-31,274,"06 December, 2024"
2012-06-30,321,"06 December, 2024"
2012-07-31,377,"06 December, 2024"
2012-08-31,304,"06 December, 2024"
2012-09-30,426,"06 December, 2024"
2012-10-31,481,"06 December, 2024"
2012-11-30,359,"06 December, 2024"
2012-12-31,302,"06 December, 2024"
2013-01-31,450,"06 December, 2024"
2013-02-28,275,"06 December, 2024"
2013-03-31,469,"06 December, 2024"
2013-04-30,661,"06 December, 2024"
2013-05-31,764,"06 December, 2024"
2013-06-30,973,"06 December, 2024"
2013-07-31,1068,"06 December, 2024"
2013-08-31,738,"06 December, 2024"
2013-09-30,1072,"06 December, 2024"
2013-10-31,1058,"06 December, 2024"
2013-11-30,796,"06 December, 2024"
2013-12-31,810,"06 December, 2024"
2014-01-31,976,"06 December, 2024"
2014-02-28,678,"06 December, 2024"
2014-03-31,985,"06 December, 2024"
2014-04-30,1592,"06 December, 2024"
2014-05-31,1691,"06 December, 2024"
2014-06-30,2180,"06 December, 2024"
2014-07-31,2279,"06 December, 2024"
2014-08-31,2036,"06 December, 2024"
2014-09-30,2691,"06 December, 2024"
2014-10-31,2994,"06 December, 2024"
2014-11-30,1979,"06 December, 2024"
2014-12-31,2049,"06 December, 2024"
2015-01-31,2357,"06 December, 2024"
2015-02-28,1685,"06 December, 2024"
2015-03-31,2368,"06 December, 2024"
2015-04-30,3552,"06 December, 2024"
2015-05-31,4323,"06 December, 2024"
2015-06-30,5120,"06 December, 2024"
2015-07-31,5672,"06 December, 2024"
2015-08-31,4704,"06 December, 2024"
2015-09-30,5688,"06 December, 2024"
2015-10-31,6014,"06 December, 2024"
2015-11-30,3805,"06 December, 2024"
2015-12-31,3839,"06 December, 2024"
2016-01-31,3984,"06 December, 2024"
2016-02-29,3247,"06 December, 2024"
2016-03-31,4366,"06 December, 2024"
2016-04-30,5162,"06 December, 2024"
2016-05-31,6690,"06 December, 2024"
2016-06-30,8630,"06 December, 2024"
2016-07-31,8291,"06 December, 2024"
2016-08-31,5735,"06 December, 2024"
2016-09-30,7271,"06 December, 2024"
2016-10-31,8564,"06 December, 2024"
2016-11-30,5817,"06 December, 2024"
2016-12-31,5913,"06 December, 2024"
2017-01-31,6834,"06 December, 2024"
2017-02-28,5131,"06 December, 2024"
2017-03-31,7201,"06 December, 2024"
2017-04-30,9088,"06 December, 2024"
