snapshot_date,total_listings,multi_host_rate,median_price,median_avail_90
"03 March, 2025",55601,39.475908706677934,146.0,32.0
"06 December, 2024",60046,38.232355194351,150.0,59.0
"06 June, 2025",53912,40.28787653954593,161.0,44.0
"12 September, 2025",0,0.0,,
