snapshot_date,total_listings,multi_host_rate,median_price,median_avail_90
"15 March, 2025",8898,52.326365475387725,94.0,46.0
"20 June, 2025",9183,53.413917020581515,108.0,44.0
"21 December, 2024",8990,50.456062291434925,97.0,65.0
"23 September, 2025",9264,54.74956822107081,104.0,54.0
