neighbourhood,listing_count,median_price,snapshot_date
Tiergarten Süd,115,139.0,"23 September, 2025"
Volkspark Wilmersdorf,87,89.0,"23 September, 2025"
Wedding Zentrum,124,91.0,"23 September, 2025"
Weißensee,106,94.5,"23 September, 2025"
Weißensee Ost,12,83.0,"23 September, 2025"
West 1,9,80.0,"23 September, 2025"
West 2,13,72.0,"23 September, 2025"
West 3,6,62.5,"23 September, 2025"
West 4,16,79.0,"23 September, 2025"
West 5,11,203.0,"23 September, 2025"
Westend,64,90.0,"23 September, 2025"
Wiesbadener Straße,25,132.0,"23 September, 2025"
Wilhelmstadt,17,120.0,"23 September, 2025"
Zehlendorf  Nord,49,84.0,"23 September, 2025"
Zehlendorf  Südwest,29,102.0,"23 September, 2025"
nördliche Luisenstadt,147,97.0,"23 September, 2025"
südliche Luisenstadt,242,101.0,"23 September, 2025"
